obs_times,source_counts,compare_counts,test_counts,source_relative_flux,test_relative_flux
2025-06-29 05:06:25.950,17444.17228360514,210616.84605863976,90144.41912803565,0.08282420238478147,0.42800194198586433
2025-06-29 05:06:43.300,17041.21801589657,206328.51534475572,88105.70180216615,0.08259264594339898,0.42701660337617287
2025-06-29 05:07:00.740,17525.637441571445,208895.5931801136,88113.333532949,0.08389663551428067,0.42180561203594213
2025-06-29 05:07:18.140,17780.131417717836,206834.3440755867,90261.17857324408,0.08596314841804108,0.4363935736913137
2025-06-29 05:07:35.350,16290.845401515944,206541.48430072702,88649.06687717457,0.07887444721660015,0.42920707758689486
2025-06-29 05:07:52.700,17553.39141295234,210369.39808392245,90734.90024725543,0.083440802573147,0.4313122586920111
2025-06-29 05:08:10.030,16884.21071914214,208130.15249040868,88427.1654803217,0.08112332844189991,0.4248647513213959
2025-06-29 05:08:27.460,18000.674023411066,211277.89817561605,92362.1745353454,0.08519903964800306,0.4371596619092317
2025-06-29 05:08:44.720,17431.7965099027,208941.8299229382,89170.07875662764,0.08342894534967883,0.4267698755654399
2025-06-29 05:09:02.050,17101.951527555095,208513.1719815777,87623.15677986557,0.08201856681296885,0.4202284006672113
2025-06-29 05:09:19.460,17154.575200668714,207956.28606012813,86430.66401247235,0.08249125585801562,0.41561938641028595
2025-06-29 05:09:36.820,17778.97118918488,208936.0162335477,90116.63528629116,0.08509289834123968,0.4313121160765275
2025-06-29 05:09:54.190,17432.37987032671,209468.53556141866,89171.88231772505,0.08322194941404615,0.42570537899033906
2025-06-29 05:10:11.530,16863.900445850206,207569.05504471326,88493.95972501667,0.08124477149167292,0.4263350320015372
2025-06-29 05:10:28.840,17232.171484311955,206989.50338294846,89562.81590216912,0.08325142677612472,0.43269254932444656
2025-06-29 05:10:46.230,16921.475065990264,211779.36471233267,90658.23307041808,0.07990143463210071,0.42807869026126477
2025-06-29 05:11:03.560,17244.2707011961,206684.2092899243,89594.31874800626,0.08343293742874601,0.43348410145028876
2025-06-29 05:11:20.830,16421.00855633264,207246.9081340019,89425.81608325594,0.07923403395584136,0.4314940902540988
2025-06-29 05:11:38.110,17277.51074246368,204918.77618600277,87877.65737811074,0.08431394655012507,0.42884141225958256
2025-06-29 05:11:55.380,17437.814090621898,210127.62381350482,89203.41353800308,0.08298677619891867,0.4245201650268222
2025-06-29 05:12:12.640,17219.372962284397,207528.6726750001,88790.4489104845,0.082973464535432,0.42784665736061744
2025-06-29 05:12:29.880,16471.119923874765,207592.80899564328,90175.956929676,0.07934340309553035,0.4343886349722668
2025-06-29 05:12:47.260,17968.214754528028,208204.46174895263,91059.09255455552,0.08630081509105035,0.43735418438992024
2025-06-29 05:13:04.540,17316.931737174913,207820.1824075887,90206.17840702283,0.08332651591659161,0.43405879718700935
2025-06-29 05:13:21.890,16344.202544531938,204692.44861593135,87989.74748622475,0.07984760871759808,0.42986318294194487
2025-06-29 05:13:39.170,15569.50662180745,203332.9819737111,84953.07778681119,0.07657147635704487,0.4178027438647153
2025-06-29 05:13:56.500,16436.93102142835,203014.40824983228,87477.73725187927,0.08096435697904181,0.4308942306411473
2025-06-29 05:14:13.860,17325.333863730008,209959.43252051313,87951.82962612767,0.0825175304378731,0.4188991586150088
2025-06-29 05:14:31.180,17099.742046608437,208959.35799312755,88915.90598860239,0.08183286075740541,0.42551770278470485
2025-06-29 05:14:48.510,17200.475380992837,204307.46691459193,89898.16695670504,0.08418916665529054,0.4400141038128861
2025-06-29 05:15:05.910,17193.504279862056,208400.88962952333,91630.88184430437,0.08250206757959214,0.43968565588754277
2025-06-29 05:15:23.210,17120.26524234094,205919.91213477342,90011.63741185638,0.08314040669916285,0.43711963781795066
2025-06-29 05:15:40.580,16929.675028279773,207620.5810591629,88964.19492627762,0.08154141049945114,0.42849410435339574
2025-06-29 05:15:57.880,16131.748261832094,204465.20118712104,85984.18773205178,0.07889728016391774,0.4205321357024532
2025-06-29 05:16:15.170,15647.136382145232,199186.71875026554,85541.32902419992,0.07855511893723774,0.42945297538361044
2025-06-29 05:16:32.580,16536.103248295556,207878.03647668666,87088.41011963793,0.07954713989301157,0.4189399303346067
2025-06-29 05:16:49.920,17289.824445806255,204590.36941440054,88697.07214031868,0.08450947371225223,0.43353493321409264
2025-06-29 05:17:07.230,16860.84061138872,207302.7559238669,89668.1533589665,0.08133437752067782,0.43254684656434395
2025-06-29 05:17:24.660,16897.647848495486,205863.0631128048,89091.63655997734,0.08208198009390467,0.4327713539905828
2025-06-29 05:17:42.010,17053.24162985815,206562.44611516822,88973.02244505586,0.08255731838279147,0.4307318397819962
2025-06-29 05:17:59.390,16889.092451832938,207116.02656277848,87649.83607302452,0.08154411192662447,0.4231919544210509
2025-06-29 05:18:16.730,16418.392971617614,204127.9058799671,86820.12406724559,0.08043188853008705,0.4253221708858281
2025-06-29 05:18:34.000,16895.144839338627,203555.70326341066,87780.28210534836,0.08300010546732516,0.4312346974221427
